成交日期,销售工号,产品,成交客户数, 成交金额 ,产品类型,期数,区域,省份,小组,业务组,职务类别,客单价,成交年份,成交月份,,,,
2020/4/1,1000000028,借呗12期,3," 55,000.68 ",借呗,12期,华东,杭州,二组,杭州二组,普通员工," 18,333.56 ",2020,4,,,,
2020/4/1,1000000029,借呗12期,2," 40,000.49 ",借呗,12期,华东,杭州,二组,杭州二组,普通员工," 20,000.25 ",2020,4,,,,
2020/4/1,1000000031,借呗12期,1," 20,000.75 ",借呗,12期,华东,杭州,一组,杭州一组,管理人员," 20,000.75 ",2020,4,,,,
2020/4/1,1000000054,借呗12期,1," 20,000.69 ",借呗,12期,华东,上海,一组,上海一组,普通员工," 20,000.69 ",2020,4,,,,
2020/4/1,1000000050,借呗18期,1," 5,000.19 ",借呗,18期,华东,合肥,一组,合肥一组,普通员工," 5,000.19 ",2020,4,,,,
2020/4/1,1000000035,借呗12期,1," 15,000.57 ",借呗,12期,华东,苏州,三组,苏州三组,普通员工," 15,000.57 ",2020,4,,,,
2020/4/1,1000000049,借呗6期,1," 5,000.64 ",借呗,6期,华东,合肥,一组,合肥一组,普通员工," 5,000.64 ",2020,4,,,,
2020/4/1,1000000032,借呗6期,1," 22,000.65 ",借呗,6期,华东,苏州,一组,苏州一组,管理人员," 22,000.65 ",2020,4,,,,
2020/4/1,1000000040,借呗6期,1," 20,000.72 ",借呗,6期,华西北,北京,四组,北京四组,管理人员," 20,000.72 ",2020,4,,,,
2020/4/1,1000000043,借呗12期,3," 14,501.30 ",借呗,12期,华西北,成都,一组,成都一组,普通员工," 4,833.77 ",2020,4,,,,
2020/4/1,1000000031,借呗6期,1," 5,000.64 ",借呗,6期,华东,杭州,一组,杭州一组,管理人员," 5,000.64 ",2020,4,,,,
2020/4/2,1000000029,借呗12期,2," 20,000.93 ",借呗,12期,华东,杭州,二组,杭州二组,普通员工," 10,000.47 ",2020,4,,,,
2020/4/2,1000000034,借呗18期,1," 20,000.43 ",借呗,18期,华东,苏州,一组,苏州一组,普通员工," 20,000.43 ",2020,4,,,,
2020/4/2,1000000028,借呗6期,1," 18,000.29 ",借呗,6期,华东,杭州,二组,杭州二组,普通员工," 18,000.29 ",2020,4,,,,
2020/4/2,1000000032,借呗12期,1," 18,000.22 ",借呗,12期,华东,苏州,一组,苏州一组,管理人员," 18,000.22 ",2020,4,,,,
2020/4/2,1000000046,借呗6期,2," 15,000.74 ",借呗,6期,华西北,成都,一组,成都一组,普通员工," 7,500.37 ",2020,4,,,,
2020/4/2,1000000035,借呗12期,1," 14,999.94 ",借呗,12期,华东,苏州,三组,苏州三组,普通员工," 14,999.94 ",2020,4,,,,
2020/4/2,1000000057,借呗18期,1," 10,000.75 ",借呗,18期,华东,上海,二组,上海二组,普通员工," 10,000.75 ",2020,4,,,,
2020/4/2,1000000031,借呗12期,1," 10,000.57 ",借呗,12期,华东,杭州,一组,杭州一组,管理人员," 10,000.57 ",2020,4,,,,
